Zone,Hierarchy Path,Sprite Asset,Sprite Name,Pixel Width,Pixel Height,PPU,Local Scale X,Local Scale Y,World Scale X,World Scale Y,World Width,World Height,Sorting Layer,Order,Enabled
"Unassigned","MonNo1_Leafy/CoinBubble","Assets/Arts/UI/coin16x16.png","coin16x16","16","16","64","1","1","1","1","0.25","0.25","Default","0","true"
"Unassigned","MonNo1_Leafy/HeartEffects/HeartEffect","Assets/Arts/Effects/heart.png","heart_0","16","16","64","1","1","1","1","0.25","0.25","Default","0","true"
"Unassigned","MonNo1_Leafy/HeartEffects/HeartEffect (1)","Assets/Arts/Effects/heart.png","heart_0","16","16","64","1","1","1","1","0.25","0.25","Default","0","true"
"Unassigned","MonNo1_Leafy/MonNo1_Leafy_Visual","Assets/Arts/Monsters/MonNo1_Leafy/Leafy_Idle.png","Leafy_Idle_0","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"Unassigned","_World/CookingPot_Map","Assets/Arts/ResourcesNode/CookingPot/CookingPot_NoCook_new.png","CookingPot_NoCook_new","64","64","64","1","1","1","1","1","1","Default","0","true"
"Unassigned","_World/CookingPot_Map/Aroma","Assets/Arts/Effects/newAroma.png","newAroma_0","96","96","100","3","3","3","3","2.88","2.88","Default","5","true"
"Unassigned","_World/CookingPot_Map/CookingProgressBar","Assets/Arts/UI/BarEmpty.png","BarEmpty","112","20","100","1.47","-1.295","1.47","-1.295","1.646","0.259","Default","2","true"
"Unassigned","_World/CookingPot_Map/CookingProgressBar/CookingProgressFill","Assets/Arts/UI/BarFill-fullt.png","BarFill-fullt","112","20","100","0.989","0.824","1.454","-1.066","1.628","0.213","Default","3","true"
"Unassigned","_World/CookingPot_Map/ReadyBubble","Assets/Arts/UI/Bubble_Food_32x28.png","Bubble_Food_32x28","32","28","64","1","1","1","1","0.5","0.438","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/Gate (1)","Assets/Arts/SummonPathArea/Gate.png","Gate","64","64","26","1","1","1","1","2.462","2.462","Default","100","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","2","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (1)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","5","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (10)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (11)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (12)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (2)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (3)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (4)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (5)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (6)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (7)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (8)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush1 (9)","Assets/Arts/SummonPathArea/bush1.png","bush1","64","64","48","1","1","1","1","1.333","1.333","Default","2","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush2","Assets/Arts/SummonPathArea/bush2.png","bush2","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush2","Assets/Arts/SummonPathArea/bush2.png","bush2","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush2 (1)","Assets/Arts/SummonPathArea/bush2.png","bush2","64","64","48","1","1","1","1","1.333","1.333","Default","2","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush2 (1)","Assets/Arts/SummonPathArea/bush2.png","bush2","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush2 (2)","Assets/Arts/SummonPathArea/bush2.png","bush2","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush2 (3)","Assets/Arts/SummonPathArea/bush2.png","bush2","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush3","Assets/Arts/SummonPathArea/bush3.png","bush3","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush3","Assets/Arts/SummonPathArea/bush3.png","bush3","64","64","48","1","1","1","1","1.333","1.333","Default","2","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush3","Assets/Arts/SummonPathArea/bush3.png","bush3","64","64","48","1","1","1","1","1.333","1.333","Default","3","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush3 (1)","Assets/Arts/SummonPathArea/bush3.png","bush3","64","64","48","1","1","1","1","1.333","1.333","Default","1","true"
"SummonPathArea","_World/World/SummonPathArea/Decor/bush3 (2)","Assets/Arts/SummonPathArea/bush3.png","bush3","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
